eɪ	A
b ɹ aʊ n ɪ z	Brownies
b ɹ u n aɪ	Brunei
b ɹ u n aɪ n	Bruneian
b ɹ u n aɪ n z	Bruneians
b ɹ ə s ə l z	Brussels
b ʊ d ə	Buddha
b ʊ d ɪ z ə m	Buddhism
b ʊ d ɪ s t	Buddhist
b ʊ d ɪ s t s	Buddhists
b ə l g ɛ ə ɹ ɪ ə	Bulgaria
b ə l g ɛ ə ɹ ɪ ə n	Bulgarian
b ə l g ɛ ə ɹ ɪ ə n z	Bulgarians
b ʊ l	Bull
b ʊ l z	Bulls
b u n ə	Buna
b ə n s ə n	Bunsen
b ə ɹ b ə ɹ ɪ z	Burberries
b ə ɹ b ə ɹ ɪ	Burberry
b ə ɹ g ə n d ɪ	Burgundy
b ə ɹ m ə	Burma
b ə ɹ m i z	Burmese
b ʊ ɹ ʊ n d ɪ	Burundi
b ʊ ɹ ʊ n d ɪ ə n	Burundian
b ʊ ɹ ʊ n d ɪ ə n z	Burundians
b ʊ ʃ m ə n	Bushman
b ʊ ʃ m ə n	Bushmen
s i	C
s i ɪ n s i	C-in-C
s i oʊ	C.O.
s i oʊ d i	C.O.D.
s i aɪ	CI
s i aɪ eɪ	CIA
s i aɪ d i	CID
s i aɪ ɛ f	CIF
s i p i	CP
s i p i ə	CP'er
s i p i ə z	CP'ers
s i p i eɪ	CPA
k ɛ ə f ɪ l ɪ	Caerphilly
s i z ə	Caesar
s i z ɛ ə ɹ ɪ ə n	Caesarean
s i z ɛ ə ɹ ɪ ə n z	Caesareans
k æ l v ə ɹ ɪ	Calvary
k æ l v ɪ n	Calvin
k æ l v ɪ n ɪ z ə m	Calvinism
k æ l v ɪ n ɪ s t	Calvinist
k æ l v ɪ n ɪ s t s	Calvinists
k æ m b oʊ d j ə	Cambodia
k æ m b oʊ d j ə n	Cambodian
k æ m b oʊ d j ə n z	Cambodians
k eɪ m b ɹ ɪ d˗ ʒ	Cambridge
k æ m ə m b ɛ ə	Camembert
k æ m ə m b ɛ ə z	Camemberts
k æ m ə ɹ u n	Cameroon
k æ m ə ɹ u n ɪ ə n	Cameroonian
k æ m ə ɹ u n ɪ ə n z	Cameroonians
k æ n ə d ə	Canada
k ə n eɪ d j ə n	Canadian
k ə n eɪ d j ə n z	Canadians
k æ n s ə	Cancer
k æ n s ə z	Cancers
k æ n d ə l m ə s	Candlemas
k æ n t æ b	Cantab
k æ n t ə b ɹ ɪ d˗ ʒ ɪ ə n	Cantabrigian
k æ n t ə b ɹ ɪ d˗ ʒ ɪ ə n z	Cantabrigians
k ə n ə k	Canuck
k ə n ə k s	Canucks
k æ p ɪ t ə l	Capitol
