english word,fijian word,pronouce,comments,AudioFile,AudioFileName
"penny","peni",,,0,
"pig","vuaka",,,0,
"place","vanua",,,0,
"pleasure","marau",,,0,
"plant (v.)","tea",,,0,
"possible","rawa",,,0,
"pot","kuro",,,0,
"power","mana",,,0,
"pretty","totoka",,,0,
"province","yasana",,,0,
"read","wilika",,,0,
"ready","vaka.rau",,,0,
"report","ituku.tuku",,,0,
"request","kere.kere",,,0,
"retire","vaka.cegu",,,0,
"return","lesu",,,0,
"right side","ima.tau",,,0,
"river","uci.wai",,,0,
"root","waka, vu",,,0,
"run","cici",,,0,
"sail (v.)","soko",,,0,
"sand","nuku",,,0,
"sea","wasa, wasa.wasa",,"wai tui",0,
"seed","vua",,,0,
"sell","voli.taka",,,0,
"shoe","ivava",,,0,
"shore","baravi",,,0,
"sir","saka",,,0,
"skin","kuli",,,0,
"sorry","lomana",,,0,
"soap","sovu",,,0,
"spirit","kalou, yalo",,,0,
"spouse","wati",,,0,
"star","kalo.kalo",,,0,
"stay","tiko",,,0,
"stomach","kete",,,0,
"stone","vatu",,,0,
"story","itala.noa",,,0,
"straight","dodonu",,,0,
"sugar","suka",,,0,
"table","teveli",,,0,
"talk","vosa",,,0,
"tapa","masi",,,0,
"taro","dalo",,,0,
"tea","tε",,,0,
"teacher","qasi ni vuli",,,0,
"that (conj.)","me, ni",,,0,
"the","na, a",,,0,
"there","keri, kea , oya, oqori",,,0,
"think","nanuma",,,0,
"this","oqo",,,0,
"thousand","udolu",,,0,
"throw","viri.taka",,,0,
"time","gauna",,,0,
"to","i",,,0,
"tomorrow","ni mataka",,,0,
"too much","rui",,,0,
"tooth","bati",,,0,
"top","dela",,,0,
"trouble","leqa",,,0,
"try","tovo.lea",,,0,
"turtle","vonu",,,0,
"type","mata.qali",,,0,
"unhappiness","rarawa",,,0,
"up","cake",,,0,
"use","yaga",,,0,
"visitor","vulagi",,,0,
"wait for","waraka",,,0,
"want","vinakata",,,0,
"want to","via",,,0,
"wash","savata",,,0,
"water","wai",,,0,
"week","macawa",,,0,
"wet","sua.sua",,,0,
"whaleÆs tooth","tabua",,,0,
"when (conj.)","ni",,,0,
"where?","vei",,,0,
"which?","cava",,,0,
"who?","cei",,,0,
"wide","raraba",,,0,
"will","na",,,0,
"word","vosa",,,0,
"write","vola",,,0,
"I want","au vinakata","aoo vina kahtah",,0,
"2nd person dual","drau",,,0,
"school","koro ni vuli",,,0,
"garden plot","teitei",,"farm,",0,
"3rd person plural","era",,,0,
"Branch","tabana",,,0,
"Papwe","ualeti",,,0,
